,origDate,origIntRate,origUPB,origLTV,origCLTV,origDebtIncRatio,WorstCreditScore,zipCode,fmacRate,fredRate,rateDiff,stateCat
254,2019-02-01,4.375,326000,85,85,42,782,190,4.46,2.7,-0.08499999999999996,39
255,2019-02-01,5.0,114000,83,83,46,714,857,4.46,2.7,0.54,3
256,2019-02-01,5.0,305000,82,82,36,715,838,4.46,2.7,0.54,14
257,2019-02-01,4.99,659000,85,85,48,726,920,4.46,2.7,0.5300000000000002,4
258,2019-02-01,4.75,263000,85,85,46,708,28,4.46,2.7,0.29000000000000004,41
259,2019-02-01,4.5,106000,82,82,31,737,827,4.46,2.7,0.040000000000000036,52
260,2019-02-01,4.875,272000,83,83,37,687,483,4.46,2.7,0.415,23
261,2019-02-01,5.0,137000,84,84,38,727,364,4.46,2.7,0.54,1
262,2019-02-01,4.625,156000,85,85,38,793,504,4.46,2.7,0.16500000000000006,13
263,2019-02-01,4.875,218000,85,85,38,696,570,4.46,2.7,0.415,43
264,2019-02-01,4.75,298000,83,83,49,770,325,4.46,2.7,0.29000000000000004,9
265,2019-02-01,4.5,289000,85,85,24,759,844,4.46,2.7,0.040000000000000036,46
266,2019-02-01,4.375,277000,83,83,30,696,211,4.46,2.7,-0.08499999999999996,21
267,2019-02-01,4.5,158000,85,85,35,753,775,4.46,2.7,0.040000000000000036,45
268,2019-02-01,4.375,218000,84,84,40,722,853,4.46,2.7,-0.08499999999999996,3
269,2019-02-01,5.5,376000,84,84,43,690,233,4.46,2.7,1.04,47
270,2019-02-01,4.375,261000,82,82,43,728,986,4.46,2.7,-0.08499999999999996,49
271,2019-02-01,4.99,271000,85,85,46,674,982,4.46,2.7,0.5300000000000002,49
272,2019-02-01,4.25,164000,85,85,31,738,360,4.46,2.7,-0.21,1
273,2019-02-01,4.375,382000,84,84,46,761,802,4.46,2.7,-0.08499999999999996,5
274,2019-02-01,4.25,211000,85,85,32,726,922,4.46,2.7,-0.21,4
275,2019-02-01,4.875,198000,84,84,41,805,604,4.46,2.7,0.415,15
276,2019-02-01,4.25,272000,84,84,45,791,275,4.46,2.7,-0.21,28
277,2019-02-01,4.875,382000,84,84,46,723,921,4.46,2.7,0.415,4
278,2019-02-01,4.625,267000,84,84,46,753,467,4.46,2.7,0.16500000000000006,16
279,2019-02-01,4.375,315000,85,85,46,779,371,4.46,2.7,-0.08499999999999996,44
280,2019-02-01,4.5,237000,85,85,49,754,840,4.46,2.7,0.040000000000000036,46
281,2019-02-01,4.875,340000,82,82,50,719,85,4.46,2.7,0.415,32
282,2019-02-01,4.375,126000,90,90,26,814,658,4.46,2.7,-0.08499999999999996,25
283,2019-02-01,5.875,381000,90,90,33,793,630,4.46,2.7,1.415,25
284,2019-02-01,4.25,416000,90,90,37,795,631,4.46,2.7,-0.21,25
285,2019-02-01,5.375,140000,90,90,42,657,615,4.46,2.7,0.915,15
286,2019-02-01,5.25,192000,88,88,42,727,277,4.46,2.7,0.79,28
287,2019-02-01,4.5,220000,90,90,48,729,500,4.46,2.7,0.040000000000000036,13
288,2019-02-01,4.875,181000,87,87,48,759,494,4.46,2.7,0.415,23
289,2019-02-01,4.5,395000,90,90,38,736,350,4.46,2.7,0.040000000000000036,1
290,2019-02-01,4.875,223000,95,95,46,757,953,4.46,2.7,0.415,4
291,2019-02-01,5.875,157000,88,88,19,637,600,4.46,2.7,1.415,15
292,2019-02-01,4.75,279000,90,90,36,741,600,4.46,2.7,0.29000000000000004,15
293,2019-02-01,4.75,295000,86,86,42,819,27,4.46,2.7,0.29000000000000004,20
294,2019-02-01,4.75,275000,90,90,22,736,541,4.46,2.7,0.29000000000000004,50
295,2019-02-01,4.25,242000,87,87,27,731,287,4.46,2.7,-0.21,28
296,2019-02-01,4.625,484000,90,90,35,774,570,4.46,2.7,0.16500000000000006,43
297,2019-02-01,4.75,243000,90,90,39,683,871,4.46,2.7,0.29000000000000004,33
298,2019-02-01,5.25,157000,88,88,46,757,442,4.46,2.7,0.79,36
299,2019-02-01,4.75,533000,89,89,47,734,930,4.46,2.7,0.29000000000000004,4
300,2019-02-01,4.75,171000,95,95,47,715,287,4.46,2.7,0.29000000000000004,28
301,2019-02-01,5.0,294000,88,88,45,752,142,4.46,2.7,0.54,35
302,2019-02-01,4.5,186000,93,93,28,690,537,4.46,2.7,0.040000000000000036,50
303,2019-02-01,4.5,473000,90,90,35,790,919,4.46,2.7,0.040000000000000036,4
304,2019-02-01,4.5,200000,88,88,41,778,846,4.46,2.7,0.040000000000000036,46
305,2019-02-01,4.875,450000,91,91,44,689,28,4.46,2.7,0.415,41
306,2019-02-01,4.75,204000,87,87,49,780,238,4.46,2.7,0.29000000000000004,47
307,2019-02-01,4.75,333000,89,89,40,705,206,4.46,2.7,0.29000000000000004,21
308,2019-02-01,4.5,306000,89,89,45,755,23,4.46,2.7,0.040000000000000036,20
309,2019-02-01,4.375,438000,89,89,39,751,934,4.46,2.7,-0.08499999999999996,4
310,2019-02-01,4.5,135000,90,90,24,757,471,4.46,2.7,0.040000000000000036,16
311,2019-02-01,4.25,163000,97,97,27,689,480,4.46,2.7,-0.21,23
312,2019-02-01,4.25,261000,90,90,38,700,559,4.46,2.7,-0.21,24
313,2019-02-01,4.625,267000,88,88,40,804,481,4.46,2.7,0.16500000000000006,23
314,2019-02-01,4.998,140000,97,97,44,686,346,4.46,2.7,0.5380000000000003,9
315,2019-02-01,4.125,408000,88,88,46,747,919,4.46,2.7,-0.335,4
